dominio,longitud,puntos,guiones,digitos,entropia,distancia_visual,tiene_ssl,resultado,es_phishing
bancoestado.online,18,1,0,0,3.4194,0,1,Limpio,0
bancoestado.app,15,1,0,0,3.3232,0,1,Proteccion_403,1
bancoestado.cc,14,1,0,0,3.182,0,1,Limpio,0
bancoestado.net,15,1,0,0,3.2402,0,0,Redireccion_Defensiva,0
n3tflix.online,14,1,0,1,3.182,1,1,Evidencia_Phishing,1
netflix.app,11,1,0,0,3.2776,0,1,Redireccion_Defensiva,0
netflix-login.com,17,1,1,0,3.6169,6,0,Limpio,0
netflix.net,11,1,0,0,2.914,0,1,Evidencia_Phishing,1
netflix.xyz,11,1,0,0,3.2776,0,1,Evidencia_Phishing,1
netflix.online,14,1,0,0,3.0391,0,1,Proteccion_403,1
netflix.cc,10,1,0,0,3.1219,0,1,Redireccion_Defensiva,0
paypal.cc,9,1,0,0,2.5033,0,0,Limpio,0
paypal-support.com,18,1,1,0,3.5033,8,1,Evidencia_Phishing,1
paypal.online,13,1,0,0,3.0851,0,0,Limpio,0
paypal.xyz,10,1,0,0,2.7219,0,0,Limpio,0
paypa1.net,10,1,0,1,2.9219,1,0,Evidencia_Phishing,1
paypal-login.com,16,1,1,0,3.5,6,0,Limpio,0
paypal.net,10,1,0,0,2.9219,0,0,Redireccion_Defensiva,0
tikt0k.online,13,1,0,1,3.0851,1,0,Evidencia_Phishing,1
tiktok.app,10,1,0,0,2.7219,0,0,Redireccion_Defensiva,0
t1ktok.cc,9,1,0,1,2.5033,1,0,Evidencia_Phishing,1
tiktok-verify.com,17,1,1,0,3.6169,7,0,Limpio,0
facebook-support.com,20,1,1,0,3.7219,8,0,Evidencia_Phishing,1
faceb00k.app,12,1,0,2,3.085,2,1,Evidencia_Phishing,1
instagram.app,13,1,0,0,3.1808,0,0,Redireccion_Defensiva,0
instagram-support.com,21,1,1,0,3.7257,8,1,Evidencia_Phishing,1
instagram.net,13,1,0,0,3.2389,0,0,Redireccion_Defensiva,0
